mst,client_type
2100422922,Công ty TNHH
2100608839,Công ty TNHH
2100627479,Công ty TNHH
2100593678,Công ty TNHH
2100454346,Công ty TNHH
2100593438,Công ty TNHH
2100543814,Công ty TNHH
2100592339,Công ty cổ phần
2100413999,Công ty cổ phần
2100379025,Công ty cổ phần
2100420925,Công ty TNHH
2100606655,Công ty TNHH
0900266789,Công ty nhà nước
0100385089,Công ty tư nhân
3002076419-001,Công ty cổ phần
0900221604,Công ty tư nhân
0900220985,Công ty tư nhân
0900226916,Công ty tư nhân
0900243220,Công ty tư nhân
0105526431,Công ty TNHH
0108453005,Công ty TNHH
2300640685,Công ty TNHH
3700692792,Công ty TNHH
4300338693,Công ty tư nhân
6001448821-009,Công ty nhà nước
6400046313,Công ty nhà nước
0300393538-012,Công ty nhà nước
6400276243,Công ty nhà nước
6400129016,Công ty nhà nước
6000168902,Công ty nhà nước
6400038802,Công ty nhà nước
6400276980,Công ty nhà nước
6400108577,Công ty nhà nước
1800277683,Công ty cổ phần
6300330070,Công ty cổ phần
6300004849-006,Công ty nhà nước
1300187015,Công ty tư nhân
0101527385-024,Công ty TNHH
1300144325,Công ty tư nhân
1300970392,Công ty TNHH
0315161593-022,Công ty tư nhân
