,mck,ten_cong_ty,mst,cong_ty_con,doanh_thu_2020,doanh_thu_2021
26,DLG,CTCP Tập đoàn Đức Long Gia Lai,5900415863.0,"Công ty TNHH Mass Noble Investments, CTCP Đầu tư và Phát triển Điện năng Đức Long Gia Lai, CTCP Năng lượng Tân Thượng, CTCP Bến xe Liên tỉnh Phía Nam Thành Phố Đà Nẵng, CTCP Đầu tư và Kinh doanh Bất động sản Đức Long Gia Lai, CTCP BOT & BT Đức Long Gia Lai, CTCP BOT & BT Đức Long Đăk Nông, CTCP Cà Phê Gia Lai, CTCP Chè Biển Hồ, CTCP Đức Long Tây Nguyên, CTCP DLG CY Việt Nam, CTCP Tư vấn Xây dựng Giao thông Gia Lai","2,034,492","1,544,442"
27,DLR,CTCP Địa ốc Đà Lạt,5800000142.0,"Công ty TNHH MTV Xây dựng Địa ốc Đà Lạt, Công ty TNHH MTV Địa ốc Bảo Lộc, Công ty TNHH Tư Vấn Xây Dựng Địa ốc Đà Lạt","30,205","11,192"
28,DLT,CTCP Du lịch và Thương mại - Vinacomin,100101298.0,,"1,237,138","1,053,877"
29,DM7,CTCP Dệt May 7,300509782.0,,"855,198","826,506"
30,DAH,CTCP Tập đoàn Khách sạn Đông Á,4600349907.0,Công ty TNHH Du lịch Khách sạn Đông Á,"12,337","691,625"
31,DNA,CTCP Điện Nước An Giang,1600249791.0,,"1,846,071","1,923,783"
32,DNC,CTCP Điện Nước Lắp máy Hải Phòng,200155561.0,CTCP Điện nước Hạ Long,"396,381","567,631"
33,DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,3600259352.0,,"187,657","160,576"
34,DNE,CTCP Môi trường Đô thị Đà Nẵng,400228640.0,,"259,600","254,579"
35,DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,5800452036.0,"CTCP Thủy điện Hạ Sông Pha, CTCP Phong điện Thuận Bình","1,686,111","2,475,119"
36,DNL,CTCP Logistics Cảng Đà Nẵng,400999731.0,,"130,776","217,879"
37,DNM,Tổng Công ty cổ phần Y tế DANAMECO,400102101.0,CT TNHH MTV DANAMECO Quảng Nam,"700,734","546,642"
38,DNN,CTCP Cấp nước Đà Nẵng,400101066.0,CTy TNHH MTV xây lắp cấp thoát nước Đà Nẵng,"491,315","467,307"
39,DNP,CTCP DNP Holding,3602905192.0,"CTCP Nhựa Đồng Nai Miền Trung, CTCP Đầu tư ngành nước DNP, CTCP CMC, CTCP Nhựa Tân Phú, Công ty Cổ phần Công trình đô thị Thủ Thừa, CTCP Cấp thoát nước Cần Thơ, CTCP Đầu tư Xây dựng Cấp thoát nước Sơn Thạnh, Công ty TNHH Xuất nhập khẩu Nhựa Việt Lào, CTCP Cấp thoát nước Long An, Công ty TNHH Cấp thoát nước Đại Dương Xanh, CTCP Nước và Môi trường Đông Hải, CTCP Cấp nước Quảng Bình, CTCP Cấp nước Cà Mau, Công ty Cổ phần Đô thị Cam Ranh","3,288,654","6,237,420"
40,DNT,CTCP Du lịch Đồng Nai,3600276414.0,CTCP Khách Sạn Vĩnh An,"198,842","118,778"
41,DNW,CTCP Cấp nước Đồng Nai,3600259296.0,"CTCP Cấp nước Nhơn Trạch, CTCP Cấp nước Long Khánh, CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai, CTCP Cấp nước Gia Tân","1,115,640","1,155,791"
42,DOC,CTCP Vật tư Nông Nghiệp Đồng Nai,3600333736.0,,"326,027","336,508"
43,DOP,CTCP Vận tải Xăng dầu Đồng Tháp,1400475345.0,"CTCP Vận tải biển Khai Nguyên, CTCP Vận tải dầu khí Mêkong, CTCP Vận tải BMC Đồng Tháp, CTCP Dịch vụ du lịch Mỹ Trà","71,432","72,340"
44,DP1,CTCP Dược phẩm Trung ương CPC1,100108536.0,,"2,058,376","2,182,420"
45,DP2,CTCP Dược phẩm Trung ương 2,100109113.0,,"164,736","179,999"
46,DP3,CTCP Dược phẩm Trung ương 3,200572501.0,,"395,721","381,077"
47,DPC,CTCP Nhựa Đà Nẵng,400383300.0,,"66,309","48,395"
48,DPG,CTCP Tập đoàn Đạt Phương,101218757.0,"Công ty TNHH MTV Đạt Phương Sài Gòn, CTCP Đạt Phương Hội An, CTCP 30-4 Quảng Ngãi, CTCP Sông Bung","2,118,336","2,545,456"
49,DPH,CTCP Dược phẩm Hải Phòng,200140269.0,,"202,289","189,113"
50,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,303165480.0,"CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ, CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ, CTCP Phân bón và Hóa chất Dầu khí Miền Bắc, CTCP Phân bón và Hóa chất Dầu khí Miền Trung, CTCP Bao bì Đạm Phú Mỹ, CTCP Phát triển Đô thị Dầu khí, CTCP Hóa dầu và Xơ sợi Việt Nam","7,761,819","12,786,141"
51,DPP,CTCP Dược Đồng Nai,3600248086.0,CTCP Chế biến Xuất nhập khẩu Nông sản Thực phẩm Đồng Nai,"328,775","329,878"
52,DPR,CTCP Cao su Đồng Phú,3800100376.0,"CTCP Cao su Đồng Phú - Đắk Nông, CTCP Cao su Kỹ thuật Đồng Phú, CTCP Cao su Đồng Phú Kratie, CTCP KCN Bắc Đồng Phú","1,137,598","1,216,841"
53,DPS,CTCP Đầu tư Phát triển Sóc Sơn,104890396.0,CTCP Đầu tư và TM Thảo Huyền,"1,073,426","247,384"
54,DQC,CTCP Bóng đèn Điện Quang,300363808.0,"Công ty TNHH MTV Công nghệ cao Điện Quang, Công ty TNHH MTV Điện Tử Điện Quang, CTCP Đầu tư và Xây lắp Điện Quang, Công ty TNHH Thương mại và Dịch vụ Điện Quang, CTCP 4P, CTCP Đầu tư và Thương mại Điện Quang","940,222","733,831"
55,DRC,CTCP Cao su Đà Nẵng,400101531.0,,"3,646,641","4,379,518"
56,DRG,CTCP Cao su Đắk Lắk,6000175829.0,"Công ty Phát triển Cao su Đắk Lắk Mondolkiri, CTCP Cao su Daknoruco, CTCP Đầu tư Cao su Đắk Lắk, CTCP Chế biến gỗ Cao su Đắk Lắk, CTCP Kỹ thuật Cao su","918,706","1,327,480"
57,DRH,CTCP DRH Holdings,304266964.0,"CTCP Địa ốc An Phú Long, CTCP Kinh doanh và Phát triển Bất động sản Đông Sài Gòn, Công ty TNHH Đầu tư Bất động sản Bình Đông, CTCP Phát triển Bất động sản Thuận Tiến, CTCP Khoáng sản và Xây dựng Bình Dương","77,912","74,960"
58,DRI,CTCP Đầu tư Cao su Đắk Lắk,6001271719.0,"Công ty TNHH Cao su Đắk Lắk (Dalaoruco), Công ty TNHH Nông nghiệp Công nghệ cao DRI","441,401","585,650"
59,DRL,CTCP Thủy điện - Điện Lực 3,400456277.0,,"96,758","95,635"
60,DS3,CTCP Quản lý Đường sông Số 3,5700102567.0,"Công ty TNHH 2 thành viên Hạ Long RiverWay, Công ty TNHH 2 thành viên Đường An Phú","54,185","42,563"
61,DSC,CTCP Chứng khoán DSC,400554813.0,,"5,776","55,752"
62,DSG,CTCP Kính Đáp Cầu,2300100471.0,"Công ty TNHH MTV Lắp dựng kính Viglacera, CTCP VinaFacade, CTCP Thương Mại vigalacera, CTCP Viglacera Deta","54,622","49,831"
63,DSN,CTCP Công viên nước Đầm Sen,302844200.0,"Viện Nghiên cứu Ứng dụng Công nghệ Sinh học Lotus Aroma, CTCP thực phẩm Lotus Aroma","84,265","25,242"
64,DSP,CTCP Dịch vụ Du lịch Phú Thọ,301074118.0,"CTCP Công viên nước Đầm Sen, CTCP Sài Gòn Đà Lạt, CTCP Du Lich Sai Gon Đông Hà","131,317","55,889"
65,DST,CTCP Đầu tư Sao Thăng Long,600004422.0,"Công ty TNHH Đầu tư và Thương mại Hưng Thịnh An, CTCP Sách và Thiết bị Giáo dục Nam Định, CTCP Thời trang và May mặc Demoda, CTCP Thời trang Clothesrack, Công ty TNHH Tư vấn và Quản lý Smart Invest","32,617","38,509"
66,DSV,CTCP Đường sắt Vĩnh Phú,2600109073.0,,"151,837","236,188"
67,DTA,CTCP Đệ Tam,303118498.0,CTCP Xây lắp Kinh doanh Vật liệu Xây dựng DTA,"43,147","108,839"
68,DTB,CTCP Công trình Đô thị Bảo Lộc,5800001347.0,,"47,683","48,061"
69,DTC,CTCP Viglacera Đông Triều,5700486105.0,CTCP Gạch Clinker Viglacera,"333,566","274,183"
70,DTD,CTCP Đầu tư Phát triển Thành Đạt,700194008.0,"Công ty TNHH Dịch vụ Thương mại Bến xe Thành Đạt, CTCP Đầu tư Phát triển Hạ tầng KCN Đồng Văn III, CTCP Tân Cảng - Đồng Văn Hà Nam","744,638","693,305"
71,H11,CTCP Xây dựng HUD101,102243403,,"44,226","107,230"
72,HAC,CTCP Chứng khoán Hải Phòng,201129927,,"60,083","89,174"
73,HAD,CTCP Bia Hà Nội - Hải Dương,800743639,,"150,388","126,565"
74,HAF,CTCP Thực phẩm Hà Nội,100106803,"CTCP Thương mại Dịch vụ Bắc Qua, CTCP Thương mại Lãng Yên, CTCP Sản xuất Kinh doanh Gia súc Gia cầm, CTCP Sản xuất Chế biến Thực phẩm Hà Nội, CTCP Ẩm thực Hà Nội","22,941","29,347"
75,HAG,CTCP Hoàng Anh Gia Lai,5900377720,"Công ty TNHH Hoàng Anh Gia Lai Vientiane, CTCP Thể thao Hoàng Anh Gia Lai, CTCP Bệnh viện Đại học Y dược - Hoàng Anh Gia Lai, Công ty TNHH Hưng Thắng Lợi Gia Lai, Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng, Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay, CTCP Chăn nuôi Gia Lai, CTCP Chế biến Thực phẩm Mang Yang, CTCP Đầu tư và Tư vấn Xây dựng Á Đông","3,176,646","2,097,418"
76,HAH,CTCP Vận tải và Xếp dỡ Hải An,103818809,"Công ty TNHH Cảng Hải An, CTCP Dịch vụ Tổng hợp Hải An (HAGS), Công ty TNHH Pan Hải An, Công ty TNHH Vận tải Container Hải An, Công ty TNHH Đại lý và Tiếp vận Hải An, CTCP Giao nhận Vận tải Hải An","1,191,667","1,955,301"
77,HAI,CTCP Nông dược H.A.I,301242080,"Công ty TNHH SX-TM HAI Long An, Công ty TNHH Nông dược HAI Quy Nhơn, Công ty TNHH Đầu tư và Phát triển Địa Ốc HAI","531,203","609,456"
78,HAM,CTCP Vật tư Hậu Giang,1800506679,"Công ty TNHH MTV Hàng tiêu dùng Hamaco, Cty TNHH MTV vật liệu xây dựng xanh HAMACO, Công ty TNHH Hamaco Petro, Công ty TNHH MTV Hamaco Vị Thanh, CTCP Bê tông Hamaco","3,218,928","3,087,570"
79,HAN,Tổng Công ty Xây dựng Hà Nội - CTCP,100106338,"Công ty TNHH MTV HanTech, Công ty TNHH MTV Hancorp 3, CTCP Đầu tư và Thương mại Hancorp 1, CTCP Đầu tư Phát triển Nhà và Xây dựng Tây Hồ, CTCP Xây dựng Hancorp 2, CTCP Xi Măng Mỹ Đức, CTCP Tư vấn - Thiết kế - Xây dựng - Kinh doanh nhà, CTCP Lắp máy điện nước và Xây dựng, CTCP Đầu tư và Xây dựng số 34, CTCP Cơ khí và Xây dựng, CTCP Thi công Cơ giới và Xây lắp, CTCP Xây dựng số 2, CTCP Hancorp, CTCP Đầu tư Xây dựng Bất động sản Lanmark, CTCP Kinh doanh Vật tư và Xây dựng, CTCP Đầu tư và Xây dựng số 4, CTCP Công nghệ Xây dựng Hancorp 5, Công ty liên doanh Quốc tế Hồ Tây, CTCP Trung Đô, CTCP Đầu tư Cao ốc Hòa Bình -Sơn La","1,991,733","2,413,517"
80,HAP,CTCP Tập đoàn Hapaco,200371361,CTCP Bệnh viện Quốc tế Green,"334,507","497,670"
81,HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,305087904,"Công ty TNHH MTV Đầu tư G Inverst, CTCP Khu du lịch Đảo San Hô, CTCP Sản xuất và Thương mại Phương Đông, CTCP Cơ khí Ngân Hàng","159,409","42,697"
82,HAS,CTCP Hacisco,101116096,"Công ty TNHH MTV Hacisco 8, Công ty TNHH MTV Hacisco 1","152,074","197,531"
83,HAT,CTCP Thương mại Bia Hà Nội,102111943,CTCP Thương mại Bia Hà Nội - Hưng Yên 89,"755,649","448,690"
84,HAV,CTCP Rượu Hapro,102164984,,"1,005","1,035"
85,HAX,CTCP Dịch vụ Ô tô Hàng Xanh,302000126,"CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM, CTCP Cơ khí Ô tô Cần Thơ","5,569,552","5,551,485"
86,HBC,CTCP Tập đoàn Xây dựng Hòa Bình,302158498,"Công ty TNHH Hòa Bình Myanmar, Công ty TNHH MTV Máy Xây dựng Matec, Công ty TNHH Sơn Hòa Bình, CTCP Nhà Hòa Bình, CTCP Đầu tư Địa ốc Tiến Phát, CTCP Đầu tư và Phát triển Hòa Yên, CTCP Tiến Phát Sanyo Homes, CTCP Sản xuất và Trang trí Mộc Hòa Bình, CTCP Đầu tư Xây dựng Hạ tầng Hòa Bình, Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội, Công Ty TNHH MTV HBIS, CTCP Interhouse Long An, CTCP Đầu tư Xây dựng Hạ tầng Hòa Bình Quảng Nam, CTCP Đầu tư Phát triển Hòa Bình Huế, Công ty TNHH Sài Gòn Ngày Mới, Công ty TNHH Tư vấn Thiết kế Hòa Bình, CTCP Đầu tư và Năng lượng Tái tạo Hòa Bình, CTCP Kỹ thuật Hòa Bình Oseven, Công ty TNHH Tiến Phát Đông Bắc, CTCP Bất động sản Okamura Sanyo, CTCP Tiến Phát Tân Thuận","11,224,653","11,355,969"
87,HBD,CTCP Bao Bì PP Bình Dương,3700431078,,"3,372","3,985"
88,HBH,CTCP Habeco - Hải Phòng,200761964,CTCP Bia Rượu NGK Hà Nội HABECO,"269,829","275,442"
89,HBS,CTCP Chứng khoán Hòa Bình,102659313,CT TNHH BĐS Vimedimex Hòa Bình,"13,090","20,665"
90,HC1,CTCP Xây dựng Số 1 Hà Nội,100105782,CTCP Đầu tư phát triển đô thị Vạn Xuân,"869,331","665,126"
91,HC3,CTCP Xây dựng Số 3 Hải Phòng,200509429,"Công ty Liên doanh Làng Quốc tế Hướng Dương GS - Hải Phòng, CTCP Thành Hưng","139,222","61,842"
92,HCB,CTCP Dệt may 29/3,400100457,,"757,895","840,978"
93,HCC,CTCP Bê tông Hòa Cầm - Intimex,4000362102,CTCP Chu Lai,"185,417","210,034"
94,HCD,CTCP Đầu tư Sản xuất và Thương mại HCD,800940115,CTCP Nhựa Trường An,"495,799","732,483"
95,HCI,CTCP Đầu tư Xây dựng Hà Nội,100105045,"Công ty TNHH Dịch vụ đô thị Hancic, CTCP Đầu tư - Xây Dựng Hà Nội An Dương","15,954","17,369"
96,HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh,302910950,,"2,247,906","4,460,113"
97,HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,200577563,,"92,447","72,790"
98,HD2,CTCP Đầu tư Phát triển Nhà HUD2,101043105,,419,"79,802"
99,HD6,CTCP Đầu tư và Phát triển Nhà Số 6 Hà Nội,100383878,"CTCP Dịch vụ Thương mại và Sàn Bất động sản Handico6, CTCP Tháp Hoa Kim Cương, CTCP Đầu tư và Phát triển Nhà số 6 Hạ Long, CTCP Xây lắp Cơ điện Handico 6","141,161","440,185"
100,HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8,102333784,Công ty TNHH MTV đầu tư phát triển nhà và đô thị Thịnh Phát Land,"113,991","127,138"
101,HDA,CTCP Hãng sơn Đông Á,102073938,"CTCP Bewin & Coating Vietnam, CTCP Cầu Đuống Việt Nam, CTCP Bewin & Coating SG","261,482","268,426"
102,HDB,Ngân hàng TMCP Phát triển TP. HCM,300608092,"Công ty TNHH MTV Quản lý Nợ và Khai thác Tài sản - Ngân hàng TMCP Phát triển TP.HCM, Công ty Tài chính TNHH HD SAISON","11,897,705","13,890,777"
103,HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,3500444601,"CTCP BÊ TÔNG & XÂY LẮP HODECO, Công ty cổ phần XÂY DỰNG - BĐS HODECO, CTCP ĐẦU TƯ - XÂY DỰNG HODECO","838,973","1,352,323"
104,HDG,CTCP Tập đoàn Hà Đô,100283802,"Công ty TNHH MTV Đầu Tư Quốc Tế Hà Đô, Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô, Công ty TNHH MTV Điện gió Hà Đô Thuận Nam, CTCP Năng lượng Hà Đô, CTCP Mua bán nợ Minh Long Đông Sài Gòn, CTCP Đầu tư Bất động sản Bình An Riverside, CTCP Thiết bị Giáo dục 1, Công ty TNHH Hà Đô Bình Thuận, CTCP Hà Đô - 756 Sài Gòn, CTCP Đầu Tư Khánh Hà, CTCP Za Hưng, CTCP Thủy điện Sông Tranh 4, CTCP Năng lượng Agrita - Quảng Nam, Công ty TNHH Năng lượng Surya Prakash Việt Nam","4,998,578","3,777,436"
105,HDM,CTCP Dệt may Huế,3300100628,CTCP Vinatex Hương Trà,"1,338,664","1,858,868"
106,HDO,CTCP Hưng Đạo Container,301411035,CTCP Sài Gòn Chấn Phát,"24,083","9,023"
107,HDP,CTCP Dược Hà Tĩnh,3000104879,,"329,969","346,665"
108,HDW,CTCP Kinh doanh Nước sạch Hải Dương,800001348,,"500,658","510,599"
109,HEC,CTCP Tư vấn Xây dựng Thủy Lợi II,300566614,CTCP Phước Hòa,"335,761","244,981"
110,HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP,100103175,"CTCP Tư vấn và đầu tư thủy lợi thủy điện (HEC17), CTCP Tư vấn Xây dựng Thủy lợi 3 (HEC3), CTCP Tư vấn Khảo sát và Xây dựng số 4 (ICC4), Công ty liên doanh APECO","140,632","122,245"
111,HEM,CTCP Chế tạo Điện Cơ Hà Nội,100100456,"Công ty TNHH Sản xuất thiết bị lưới điện G-Powẻ, CTCP Điện cơ Hà Nội, Công ty TNHH S.A.S - Công tyAMAD","548,586","445,744"
112,HEP,CTCP Môi trường và Công trình Đô thị Huế,3300101082,,"281,993","325,364"
113,HES,CTCP Dịch vụ Giải trí Hà Nội,100844825,,"53,929","18,987"
114,HEV,CTCP Sách Đại học Dạy nghề,103004993,,"34,336","38,850"
115,HFB,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh,301986393,Công ty TNHH Đầu tư Xây dựng Công trình Cầu Phà,"467,582","385,347"
116,HFC,CTCP Xăng dầu HFC,100108159,Công ty TNHH Dịch vụ HFC,"1,479,616","1,513,259"
117,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,100101876,CTCP XNK Thanh Hà,"31,319","21,894"
118,HGM,CTCP Cơ khí và Khoáng sản Hà Giang,5100101762,"CTCP Gang thép cao bang, CTCP Gang thép cao bang","73,753","154,120"
119,HGT,CTCP Du lịch Hương Giang,3300101124,"Công ty TNHH Sài Gòn Morin Huế, Côgn ty TNHH MTV Lữ hành Hương Giang, Công ty TNHH Du lịch Lăng Cô, Công ty TNHH Khách sạn Kinh Thành, Công ty TNHH Đầu tư Du lịch Kinh Thành, CTCP Đầu tư du lịch Thiên Phúc","28,972","8,961"
120,HGW,CTCP Cấp thoát nước - Công trình Đô thị Hậu Giang,1800544868,,"208,090","226,083"
121,QBS,CTCP Xuất nhập khẩu Quảng Bình,200730878.0,CTCP Cảng cạn Quảng Bình - Đình Vũ,"1,203,834","1,529,009"
122,QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông,4000364082.0,Công ty cổ phần Đầu tư và Phát triển hạ tầng QTC,"26,383","27,113"
123,QCG,CTCP Quốc Cường Gia Lai,5900409387.0,"CTCP Đầu tư Xây dựng Thủy điện Quốc Cường, Công ty TNHH Bến du thuyền Đà Nẵng, CTCP Giai Việt, Công ty TNHH Xây dựng và Kinh doanh Nhà Phạm Gia, CTCP Bất động sản Hiệp Phúc, CTCP Quốc Cường Liên Á","134,837","516,784"
124,QHD,CTCP Que hàn điện Việt Đức,500445085.0,,"272,329","273,477"
125,QHW,CTCP Nước khoáng Quảng Ninh,5700379618.0,,"211,170","215,489"
126,QLT,CTCP Quản lý Bảo trì Đường thủy Nội địa Số 10,313159937.0,,"76,450","70,551"
127,QNC,CTCP Xi măng và Xây dựng Quảng Ninh,5700100263.0,CTCP Thương mại Sông Sinh,"1,545,734","1,209,578"
128,QNS,CTCP Đường Quảng Ngãi,4300205943.0,Công ty TNHH MTV Thương mại Thành Phát,"6,213,489","7,335,294"
129,QNU,CTCP Môi trường Đô thị Quảng Nam,4000108321.0,,"346,763","150,276"
130,QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi,4300326264.0,"Công ty TNHH MTV Xây lắp Hạ tầng Quảng Ngãi, Công ty TNHH Cấp nước Dung Quất","74,788","71,202"
131,QPH,CTCP Thủy điện Quế Phong,2900687702.0,Công ty TNHH MTV Thủy điện Sao Va,"113,632","120,412"
132,QSP,CTCP Tân Cảng Quy Nhơn,4100694020.0,,"40,377","40,444"
133,QST,CTCP Sách và Thiết bị Trường học Quảng Ninh,5700101549.0,,"111,445","137,037"
134,QTC,CTCP Công trình Giao thông Vận tải Quảng Nam,4000390766.0,Công ty TNHH MTV Sửa chữa và Xây dựng Đường bộ Số 1,"129,769","138,845"
135,QTP,CTCP Nhiệt điện Quảng Ninh,5700434869.0,,"9,182,385","8,570,584"
136,HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,302087938.0,"CTCP Tư Vấn Thương Mại Dịch Vụ Địa Ốc Hoàng Quân Bình Thuận, CTCP Đầu Tư Simon, CTCP Đầu Tư Địa Ốc Hoàng Quân Cần Thơ","538,091","278,969"
137,HRB,CTCP Harec Đầu tư và Thương mại,102116074.0,,"39,480","40,118"
138,HRC,CTCP Cao su Hòa Bình,3500657173.0,"CTCP Cao Su Việt Lào, CTCP Cao su Bà Rịa Vũng Tàu - Kampongthong, CTCP Cao Su Bình Long - Tà Thiết, CTCP Cao Su Lai Châu, CTCP Thủy hải sản An Phú - Đồng Tháp, CTCP Khu Công nghiệp Long Khánh, CTCP Xây dựng - Cao su Đồng Nai, CTCP Địa Ốc MB","188,514","184,909"
139,HRT,CTCP Vận tải Đường sắt Hà Nội,100106264.0,,"1,939,301","1,546,925"
140,HSA,CTCP Hestia,106459724.0,,3,20
141,HSG,CTCP Tập đoàn Hoa Sen,3700381324.0,"Công ty TNHH MTV Hoa Sen Nghệ An, Công ty TNHH MTV Hoa Sen Nhơn Hội – Bình Định, Công ty TNHH MTV Tôn Hoa Sen, Công ty TNHH MTV Hoa Sen Phú Mỹ, Công ty TNHH MTV Hoa Sen Hà Nam, Công ty TNHH MTV Hoa Sen Bình Định, Công ty TNHH MTV Vật liệu Xây dựng Hoa Sen Yên Bái, CTCP Hoa Sen Yên Bái, CTCP Cảng Quốc tế Hoa Sen","27,530,750","48,726,522"
142,HSI,CTCP Vật tư Tổng hợp và Phân bón Hóa Sinh,303951558.0,"Công ty TNHH Phân bón NPK Phú Yên, CTCP Phân bón Anh Việt","164,650","234,868"
143,HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,5500512492.0,"CTCP Cường Sinh Yên Châu, CTCP Nông sản Ngọc Lặc Xanh, CTCP HongHa Pharma, CTCP Nông sản Elmaco","242,993","305,160"
144,HSM,Tổng Công ty cổ phần Dệt may Hà Nội,100100826.0,"CTCP Thời trang Hanosimex, CTCP May Halotexco, CTCP Dệt Hà Đông Hanosimex, CTCP Dệt kim Hanosimex, CTCP Thương mại Hải phòng Hanosimex, CTCP May Đông Mỹ Hanosimex","1,325,286","1,655,238"
145,HSV,CTCP Gang Thép Hà Nội,106358846.0,,"322,556","393,424"
146,HT1,CTCP Xi Măng Vicem Hà Tiên,301446422.0,Công ty TNHH Đầu Tư Phát Triển Bất Động Sản Trường Thọ,"7,962,629","7,064,342"
147,HTC,CTCP Thương mại Hóc Môn,302481483.0,"Công ty TNHH Quản lý và Kinh doanh Chợ đầu mối NSTP Hóc Môn, CTCP Chế Biến Thực Phẩm Hóc Môn","1,592,860","1,364,794"
148,HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,305173790.0,CTCP Baan - Tradincorp,"180,677","121,377"
149,HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ,400101556.0,"Công ty TNHH MTV Cơ khí Xây dựng Hòa Thọ, CTCP May Hòa Thọ - Duy Xuyên, CTCP Thời trang Hòa Thọ, CTCP Sợi Hòa Thọ - Thăng Bình, CTCP May Hòa Thọ - Hội An, CTCP May Hòa Thọ - Quảng Nam, CTCP May Hòa Thọ - Phú Ninh","3,256,264","3,863,510"
150,HTH,CTCP Hoa tiêu hàng hải - TKV,300443683.0,,"76,269","12,652"
151,HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,302095576.0,CTCP XNK sản xuất gia công và bao bì (PACKSIMEX),"375,164","333,911"
152,HTL,CTCP Kỹ thuật và Ô tô Trường Long,301384695.0,"CTCP Ô tô Long Trường, CTCP Ô tô Long Trường tại Bình Dương","781,423","905,794"
153,HTM,Tổng Công ty Thương mại Hà Nội - CTCP,100101273.0,"CTCP Phát triển Siêu thị Hà Nội, CTCP Sản xuất Chế biến XNK Điều Hapro Bình Phước, CTCP Sự kiện và ẩm thực Hapro, CTCP Rượu Hapro, CTCP CNP Hải Dương, CTCP Xuất nhập khẩu TCMN và DL Thương nhân Hapro, CTCP Dịch vụ XNK Nông sản Hà Nội, CTCP SKKD Gia súc Gia cầm, Công ty TNHH Cao ốc Á Châu, CTCP kinh doanh XNK An Phú Hưng, CTCP Phát triển Thương mại và Du lịch Hà Nội, CTCP Vang Thăng Long, CTCP Đầu tư Phát triển Hạ tầng thương mại Hà Nội, CTCP Phát triển Thương mại Hà Nội, CTCP Thương mại - Đầu tư Long Biên, CTCP Đầu tư Thương mại và Dịch vụ Chợ Bưởi, CTCP Thủy Tạ, CTCP Gốm Chu Đậu, CTCP Khách sạn Tràng Thi, CTCP Thông tin Hapro, CTCP Phân phối Hapro, CTCP Thực phẩm Hà Nội, CTCP Nội thất Sinh thái Hapro","940,474","618,505"
154,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,311638525.0,"CTCP Dịch vụ Nhiên liệu Hàng không Nội Bài (NAFSC), Công ty TNHH Dịch vụ bảo dưỡng máy bay Cảng hàng không Miền Nam (SAAM), CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất, CTCP Phục vụ Mặt đất Sài Gòn, CTCP Vận tải Hàng không miền Nam, CTCP Thương mại Hàng không Miền Nam (SATCO), CTCP Phục vụ mặt đất Hà Nội (HGS), CTCP Dịch vụ hàng hóa Hàng không Việt Nam (ACSV), Công ty Cổ phần Đầu tư TCP, Công ty Cổ phần dịch vụ hàng hóa Sài Gòn (SCSC), Công ty Cổ phần đầu tư khai thác Nhà ga Quốc tế Đà Nẵng (AHT), Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (CRTC)","7,767,469","4,752,036"
155,HTP,CTCP In Sách Giáo khoa Hòa Phát,400459486.0,"CTCP Hưng Vượng Developer, CTCO In sách Hòa Phát","7,965","23,820"
156,HTR,CTCP Đường sắt Hà Thái,100769663.0,,"141,678","172,832"
157,HTT,CTCP Thương mại Hà Tây,500443384.0,,"6,613","17,139"
158,HTV,CTCP Logistics Vicem,301975289.0,Công ty TNHH Đầu tư phát triển Bất động sản Trường Thọ Thủ Đức,"282,084","297,847"
159,HTW,CTCP Cấp nước Hà Tĩnh,3000101973.0,,"141,196","144,766"
