Mã số thuế,Mã chứng khoán,Ten cong ty,CEO,Nganh nghe,Doanh thu 2020,Doanh thu 2021,Tinh
0102737963,Chưa niêm yết,TỔNG CÔNG TY CP BẢO HIỂM HÀNG KHÔNG,Trần Trọng Dũng,Bảo hiểm,,,Hà Nội
0101468933,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC AN PHÁT,Lê Thị Hương Giang,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
1400384433,IMP,CÔNG TY CP DƯỢC PHẨM IMEXPHARM,Trần Thị Đào,"Sản xuất dược phẩm, thiết bị y tế","1,369,422","1,266,597",Đồng Tháp
0108704763,Chưa niêm yết,CÔNG TY CP XÂY DỰNG SCG,Lê Văn Nam,Xây dựng,"1,420,346","2,857,280",Hà Nội
0101428070,Chưa niêm yết,CÔNG TY CP XÂY DỰNG VÀ CÔNG NGHIỆP NSN,Thạch Hoàng Ngọc,Hoạt động xây dựng khác,,,Hà Nội
0100100625,SRC,CÔNG TY CP CAO SU SAO VÀNG,Mai Chiến Thắng,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su","1,349,273","955,715",Hà Nội
3700148825,KSB,CÔNG TY CP KHOÁNG SẢN VÀ XÂY DỰNG BÌNH DƯƠNG,Trần Đình Hà,Khai khoáng khác và kinh doanh các sản phẩm khác từ khai khoáng,"1,322,455","884,273",Bình Dương
0900264799,TDP,CÔNG TY CP THUẬN ĐỨC,Nguyễn Đức Cường,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","1,375,844","2,440,120",Hưng Yên
1000389853,Chưa niêm yết,CÔNG TY CP DAMSAN,Vũ Huy Đông,"Sản xuất, kinh doanh sợi, sản phẩm dệt","1,339,010","1,513,151",Thái Bình
0101179473,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT HOÀNG MAI,Nguyễn Thị Tuyết Mai,"Sản xuất, chế biến và kinh doanh bánh kẹo",,,Hà Nội
0301458065,Chưa niêm yết,TỔNG CÔNG TY CP BẢO HIỂM BẢO LONG,Phan Quốc Dũng,Bảo hiểm,"937,643","1,092,236",TP Hồ Chí Minh
2500552524,Chưa niêm yết,CÔNG TY CP CÔNG NGHIỆP Á MỸ,Đinh Quốc Tuấn,"Sản xuất, kinh doanh vật liệu xây dựng",,,Vĩnh Phúc
1300230895,Chưa niêm yết,CÔNG TY TNHH CHẾ BIẾN DỪA LƯƠNG QUỚI,Cù Văn Thành,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,Bến Tre
2600107284,Chưa niêm yết,CÔNG TY CP GIẤY VIỆT TRÌ,Nguyễn Văn Hiện,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy","1,361,978","1,989,277",Phú Thọ
2600106523,CVT,CÔNG TY CP CMC,Nguyễn Quang Huy,"Sản xuất, kinh doanh vật liệu xây dựng","1,360,411","1,519,086",Phú Thọ
0400461301,Chưa niêm yết,CÔNG TY CP KỸ THUẬT XÂY DỰNG DINCO,Lê Trường Kỹ,Xây dựng,,,Đà Nẵng
3600363970,BBC,CÔNG TY CP BIBICA,Nguyễn Quốc Hoàng,"Sản xuất, chế biến và kinh doanh bánh kẹo","1,218,556","1,091,174",TP Hồ Chí Minh
0102182140,FIT,CÔNG TY CP TẬP ĐOÀN F.I.T,Nguyễn Thị Minh Nguyệt,Dịch vụ tài chính khác,"1,188,427","1,220,561",Hà Nội
0313562014,Chưa niêm yết,CÔNG TY CP THƯƠNG MẠI THÉP INDECO,Đào Đình Đông,"Kinh doanh kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
0102681319,KOS,CÔNG TY CP KOSY,Nguyễn Việt Cường,Kinh doanh bất động sản,"1,308,626","1,106,568",Hà Nội
3600364780,Chưa niêm yết,CÔNG TY TNHH VINA,Phạm Đức Ngữ,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
4100259564,DBD,CÔNG TY CP DƯỢC - TRANG THIẾT BỊ Y TẾ BÌNH ĐỊNH,Phạm Thị Thanh Hương,"Sản xuất dược phẩm, thiết bị y tế","1,256,952","1,558,504",Bình Định
0100274124,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM ĐÔNG Á,Lê Minh Nguyệt,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Hà Nội
1201044062,Chưa niêm yết,CÔNG TY TNHH CÔNG NGHIỆP MINH HƯNG,Lâm Đạo Minh,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,TP Hồ Chí Minh
0300993574,Chưa niêm yết,CÔNG TY CP TRUYỀN THÔNG TK - L,Nguyễn Thị Trúc Mai,Quảng cáo và nghiên cứu thị trường,,,TP Hồ Chí Minh
0102886450,Chưa niêm yết,CÔNG TY CP PHÂN BÓN VÀ HÓA CHẤT DẦU KHÍ MIỀN BẮC,Cao Trung Kiên,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","1,292,013","2,056,374",Hà Nội
0301921780,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI KIM ĐỨC,Lê Thị Hiền Lương,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,TP Hồ Chí Minh
0302273109,Chưa niêm yết,CÔNG TY CP TƯ VẤN D.P,Trần Song Hải,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
0305358801,Chưa niêm yết,CÔNG TY CP DỊCH VỤ HÀNG HẢI HÀNG KHÔNG CON CÁ HEO,Trần Đăng Nam,Hoạt động khác hỗ trợ cho vận tải,,,TP Hồ Chí Minh
0314637978,Chưa niêm yết,CÔNG TY CP PHÁT TRIỂN ĐẦU TƯ XÂY DỰNG HT,Tôn Thất Nhật Minh,Xây dựng,,,TP Hồ Chí Minh
0302495140,Chưa niêm yết,CÔNG TY CP VẬT LIỆU XÂY DỰNG VÀ TRANG TRÍ NỘI THẤT TP. HỒ CHÍ MINH,Huỳnh Văn Tư,"Sản xuất, kinh doanh vật liệu xây dựng","1,217,473","819,486",TP Hồ Chí Minh
4100258747,C47,CÔNG TY CP XÂY DỰNG 47,Dương Minh Quang,Xây dựng,"1,233,083","881,943",Bình Định
0901019782,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN NGỌC DIỆP,Trần Thị Thu Diệp,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
4201620427,Chưa niêm yết,CÔNG TY TNHH CÁ NGỪ VIỆT NAM,Nguyễn Văn Dư,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,Khánh Hòa
3600697236,Chưa niêm yết,CÔNG TY TNHH HOÀNG ĐẠI VƯƠNG,Nguyễn Đức Hậu,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,Đồng Nai
0100107275,Chưa niêm yết,CÔNG TY CP XNK MÁY VÀ PHỤ TÙNG,Trần Viết Hưng,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
0302533156,Chưa niêm yết,CÔNG TY CP HÓA - DƯỢC PHẨM MEKOPHAR,Huỳnh Thị Lan,"Sản xuất dược phẩm, thiết bị y tế","1,210,530","1,129,847",TP Hồ Chí Minh
3700820571,Chưa niêm yết,CÔNG TY CP CÔNG NGHIỆP ĐÔNG HƯNG,Hà Duy Hưng,"Sản xuất, kinh doanh sản phẩm da giầy",,,Bình Dương
2500209363,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN SƠN HÀ XANH,Nguyễn Nam Hải,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Vĩnh Phúc
0100105895,VC2,CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG VINA2,Nguyễn Khắc Hải,Xây dựng,"1,184,858","885,141",Hà Nội
0301776205,VNL,CÔNG TY CP LOGISTICS VINALINK,Nguyễn Nam Tiến,Hoạt động khác hỗ trợ cho vận tải,"1,202,207","1,464,037",TP Hồ Chí Minh
0103818809,HAH,CÔNG TY CP VẬN TẢI VÀ XẾP DỠ HẢI AN,Tạ Mạnh Cường,"Kho bãi, bốc xếp hàng hóa","1,191,667","1,955,301",Hà Nội
0101508664,INN,CÔNG TY CP BAO BÌ VÀ IN NÔNG NGHIỆP,Lê Duy Toàn,"In ấn, xuất bản","1,210,062","1,536,424",Hà Nội
0400101965,HHV,CÔNG TY CP ĐẦU TƯ HẠ TẦNG GIAO THÔNG ĐÈO CẢ,Nguyễn Xuân Hưởng,Xây dựng,"1,201,343","1,861,340",Đà Nẵng
0102278484,OGC,CÔNG TY CP TẬP ĐOÀN ĐẠI DƯƠNG,Lò Hồng Hiệp,Kinh doanh bất động sản,"903,545","409,277",Hà Nội
0100510501,Chưa niêm yết,CÔNG TY CP NHÔM ĐÔ THÀNH,Lê Ánh Tuyết,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hà Nội
0302563707,ST8,CÔNG TY CP SIÊU THANH,Phạm Vĩnh Phú,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","1,141,547","784,648",TP Hồ Chí Minh
0308779300,Chưa niêm yết,CÔNG TY TNHH CỬA SỔ VIỆT CHÂU Á ASEANWINDOW,Hà Thị Diệu Linh,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
1700113586,CKG,CÔNG TY CP TẬP ĐOÀN TƯ VẤN ĐẦU TƯ XÂY DỰNG KIÊN GIANG,Phạm Thị Như Phượng,Dịch vụ khác,"1,114,743","1,103,225",Kiên Giang
3600723398,Chưa niêm yết,CÔNG TY CP GẠCH MEN V.T.C,Trần Hiền Phong,"Sản xuất, kinh doanh vật liệu xây dựng",,,Đồng Nai
0305706103,Chưa niêm yết,CÔNG TY CP DƯỢC PHẨM AN THIÊN,Trần Ngọc Dũng,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,TP Hồ Chí Minh
0301123125,SAS,CÔNG TY CP DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT (SASCO),Đoàn Thị Mai Hương,Bán lẻ,"918,203","321,078",TP Hồ Chí Minh
0101099475,Chưa niêm yết,CÔNG TY TNHH TM QUỐC TẾ THỦY LINH,Nguyễn Anh Linh,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
0106393583,MBS,CÔNG TY CP CHỨNG KHOÁN MB,Trần Hải Hà,Chứng khoán,"1,115,550","2,217,763",Hà Nội
0101130774,Chưa niêm yết,CÔNG TY TNHH THANG MÁY & THIẾT BỊ THĂNG LONG,Lê Minh Hùng,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
0101206367,,CÔNG TY CP ĐẠI HỮU,Đức Minh Đạo,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hà Nội
3400382278,ABS,CÔNG TY CP DỊCH VỤ NÔNG NGHIỆP BÌNH THUẬN,Nguyễn Nhật Huy,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","1,103,963","1,198,652",Khánh Hòa
4000378744,Chưa niêm yết,CÔNG TY CP TUẤN ĐẠT,Trần Thị Dung,"Sản xuất, kinh doanh trang phục",,,Quảng Nam
4200644489,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ VCN,Nguyễn Khánh Toàn,Kinh doanh bất động sản,,,Khánh Hòa
2500217389,NAG,CÔNG TY CP TẬP ĐOÀN NAGAKAWA,Nguyễn Thị Huyền Thương,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…","1,075,856","1,404,424",Vĩnh Phúc
0102036100,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ QUỐC TẾ VÀ XUẤT NHẬP KHẨU DHT,Nguyễn Anh Dũng,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,,Hà Nội
0102766770,Chưa niêm yết,CÔNG TY TÀI CHÍNH CỔ PHẦN TÍN VIỆT,Hồ Minh Tâm,Dịch vụ tài chính khác,"696,110","1,201,808",Hà Nội
0600206147,Chưa niêm yết,CÔNG TY CP DƯỢC PHẨM NAM HÀ,Hà Linh,"Sản xuất dược phẩm, thiết bị y tế",,,Nam Định
0312173537,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ XÂY DỰNG BCONS,Lê Như Thạch,Xây dựng,,,TP Hồ Chí Minh
0900220897,Chưa niêm yết,CÔNG TY CP ĐÔNG GIANG,Vũ Hồng Quân,"Sản xuất, kinh doanh thiết bị điện",,,Hưng Yên
4300369451,Chưa niêm yết,CÔNG TY TNHH MTV THƯƠNG MẠI THÀNH PHÁT,Đặng Phú Quý,"Sản xuất, chế biến và kinh doanh đồ uống có cồn",,,Quảng Ngãi
0100108504,VFC,CÔNG TY CP VINAFCO,Phạm Thị Lan Hương,Vận tải đường bộ,"1,046,266","1,245,217",Hà Nội
0313541575,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ XÂY DỰNG SOL E&C,Lê Chí Trung,Xây dựng,,,TP Hồ Chí Minh
0304172307,Chưa niêm yết,CÔNG TY CP XÂY DỰNG AN PHÚ GIA,Hứa Đình Tuấn,Xây dựng,,,TP Hồ Chí Minh
0100101273,HTM,TỔNG CÔNG TY THƯƠNG MẠI HÀ NỘI - CTCP,Vũ Thanh Sơn,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông","940,474","618,505",Hà Nội
2800588271,Chưa niêm yết,CÔNG TY CP THIẾT BỊ VẬT TƯ Y TẾ THANH HOÁ,Nguyễn Văn Mong,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Thanh Hoá
3300101406,Chưa niêm yết,CÔNG TY CP DƯỢC MEDIPHARCO,Phan Thị Minh Tâm,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Thừa Thiên Huế
0310734321,Chưa niêm yết,CÔNG TY CP AZB,Trần Minh Nhơn,Xây dựng,,,TP Hồ Chí Minh
0300584155,Chưa niêm yết,CÔNG TY CP XÂY LẮP THƯƠNG MẠI 2,Đinh Viết Duy,Xây dựng,"1,031,090","418,594",TP Hồ Chí Minh
0314115227,Chưa niêm yết,CÔNG TY TNHH TRUYỀN THÔNG BEE,Nguyễn Tấn Thái,"Truyền hình, phát thanh, phim ảnh",,,TP Hồ Chí Minh
1101928050,Chưa niêm yết,CÔNG TY TNHH SẢN XUẤT TẬP ĐOÀN ĐẠI VIỆT,Ngô Xuân Mạnh,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Long An
1500419552,Chưa niêm yết,CÔNG TY CP BÊ TÔNG 620 CHÂU THỚI,Trần Thanh Vũ,"Sản xuất, kinh doanh vật liệu xây dựng",,,Vĩnh Long
0100112500,Chưa niêm yết,CÔNG TY TNHH DELOITTE VIỆT NAM,Phạm Văn Thinh,Dịch vụ khác,,,Hà Nội
0300363808,DQC,CÔNG TY CP BÓNG ĐÈN ĐIỆN QUANG,Hồ Quỳnh Hưng,"Sản xuất, kinh doanh thiết bị điện","940,222","733,831",TP Hồ Chí Minh
0305289273,Chưa niêm yết,CÔNG TY CP CƠ ĐIỆN ĐOÀN NHẤT,Nguyễn Duy Pháp,Hoạt động xây dựng khác,,,TP Hồ Chí Minh
0100100537,Chưa niêm yết,CÔNG TY CP KHÓA VIỆT - TIỆP,Nguyễn Văn Tuấn,"Sản xuất, kinh doanh đồ dùng gia đình",,,Hà Nội
0302008774,Chưa niêm yết,CÔNG TY CP DÂY CÁP ĐIỆN DAPHACO,Đào Quang Huy,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
0304391796,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT DẦU THỰC VẬT MINH HUÊ,Tăng Quốc Khánh,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,,TP Hồ Chí Minh
0200919993,Chưa niêm yết,CÔNG TY CP NHẬT TIẾN,Nguyễn Lê Thụy,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hải Phòng
6001552050,Chưa niêm yết,CÔNG TY CP GIAO DỊCH HÀNG HÓA TÂY NGUYÊN,Đỗ Văn Thắng,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,TP Hồ Chí Minh
0302560110,OPC,CÔNG TY CP DƯỢC PHẨM OPC,Nguyễn Chí Linh,"Sản xuất dược phẩm, thiết bị y tế","965,591","1,123,728",TP Hồ Chí Minh
1200748517,Chưa niêm yết,MINH HƯNG GROUP,Phạm Tú Anh,"Sản xuất, kinh doanh hóa chất khác",,,TP Hồ Chí Minh
0104008162,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN ĐUA FAT,Lê Duy Hưng,Xây dựng,,,Hà Nội
0101093709,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ XÂY DỰNG HẠ TẦNG VÀ PHÁT TRIỂN NÔNG THÔN,Nguyễn Đức Hà,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
0305141894,Chưa niêm yết,CÔNG TY CP HỢP NHẤT QUỐC TẾ,Bùi Đức Ngoãn,"Bưu chính, chuyển phát",,,Hà Nội
0200575580,Chưa niêm yết,CÔNG TY CP SƠN HẢI PHÒNG,Nguyễn Văn Dũng,"Sản xuất, kinh doanh hóa chất khác",,,Hải Phòng
2800976203,Chưa niêm yết,TỔNG CÔNG TY CỔ PHẦN MIỀN TRUNG,Nguyễn Hữu Vinh,Xây dựng,,,Thanh Hoá
0101161194,Chưa niêm yết,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ HACOM,Đặng Tiến Trung,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
2300223949,Chưa niêm yết,CÔNG TY CP TIẾN HƯNG,Desmond Nguyen,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Bắc Ninh
3700912751,Chưa niêm yết,CÔNG TY CP BÊ TÔNG LY TÂM THỦ ĐỨC 1,Nguyễn Ngọc Hùng,"Sản xuất, kinh doanh vật liệu xây dựng",,,Bình Dương
0313717010,Chưa niêm yết,CÔNG TY CP XÂY DỰNG CBC,Đỗ Văn Cường,Xây dựng,,,TP Hồ Chí Minh
2901274715,Chưa niêm yết,CÔNG TY CP VILACONIC,Hoàng Văn Ngoạn,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Nghệ An
2800142141,Chưa niêm yết,CÔNG TY CP CÔNG NÔNG NGHIỆP TIẾN NÔNG,Nguyễn Hồng Phong,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Thanh Hoá
0303614739,Chưa niêm yết,CÔNG TY CP MAY VIỆT THỊNH,Nguyễn Đình Chương,"Sản xuất, kinh doanh trang phục",,,TP Hồ Chí Minh
0101252356,Chưa niêm yết,CÔNG TY CP SAO THÁI DUONG,Nguyễn Hữu Thắng,"Sản xuất dược phẩm, thiết bị y tế",,,Hà Nội
0103812250,Chưa niêm yết,CÔNG TY TNHH FSI VIỆT NAM,Trần Hoàng Giang,"Sản xuất, kinh doanh hóa chất khác",,,Hà Nội
0301447426,HPT,CÔNG TY CP DỊCH VỤ CÔNG NGHỆ TIN HỌC HPT,Đinh Hà Duy Linh,Hoạt động thông tin khác,"792,407","807,541",TP Hồ Chí Minh
2400345718,TDG,CÔNG TY CP DẦU KHÍ THÁI DƯƠNG,Lê Minh Hiếu,Kinh doanh xăng dầu và các sản phẩm liên quan,"802,594","1,458,002",Bắc Giang
0200380768,TR1,CÔNG TY CP VẬN TẢI 1 TRACO,Đỗ Minh Tuấn,Hoạt động khác hỗ trợ cho vận tải,"798,482","402,949",Hải Phòng
0105028958,Chưa niêm yết,CÔNG TY CP MIZA,Nguyễn Tuấn Minh,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,Hà Nội
0301125316,Chưa niêm yết,CÔNG TY TNHH XÂY DỰNG LÊ PHAN,Phan Xuân Lộc,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
0900189171,Chưa niêm yết,CÔNG TY TNHH XE ĐIỆN XE MÁY DETECH,Đinh Văn Bắc,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hưng Yên
0200656938,Chưa niêm yết,CÔNG TY CP NỘI THẤT 190,Ngô Duy Hưng,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,,Hải Phòng
0104228175,EVG,CÔNG TY CỔ PHẦN ĐẦU TƯ EVERLAND,Nguyễn Thúc Cẩn,Kinh doanh bất động sản,"768,476","968,373",Hà Nội
0302429934,Chưa niêm yết,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ THIÊN NAM HOÀ,Nguyễn Trần Thảo Nguyên,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
0301275199,Chưa niêm yết,CÔNG TY TNHH NHỰA LONG THÀNH,Phạm Văn Mười,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,TP Hồ Chí Minh
0102075540,Chưa niêm yết,CÔNG TY TNHH DINH DƯỠNG QUỐC TẾ VIỆT ĐỨC,Phạm Trần Sum,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Hà Nội
0100105020,Chưa niêm yết,CÔNG TY CP TỔNG CÔNG TY XÂY DỰNG THĂNG LONG,Nguyễn Đức Kiên,Xây dựng,"729,618","1,262,499",Hà Nội
0301893928,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI THÉP ĐẠI TOÀN THẮNG,Đoàn Danh Hồng,"Kinh doanh kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
0100683952,Chưa niêm yết,CÔNG TY TNHH BẢO TÍN MINH CHÂU,Vũ Minh Châu,"Bán lẻ vàng, bạc và kim loại quý khác",,,Hà Nội
0106300187,Chưa niêm yết,CÔNG TY CP THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM,Ngô Hữu Tiệp,Xây dựng,,,Hà Nội
0301671386,Chưa niêm yết,CÔNG TY CP IN VÀ BAO BÌ MỸ CHÂU,Trịnh Hữu Minh,Hoạt động công nghiệp khác,"688,443","431,298",TP Hồ Chí Minh
0302776127,Chưa niêm yết,CÔNG TY CP SẢN XUẤT THƯƠNG MẠI SÀI GÒN,Nguyễn Thành Vinh,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
0301521415,Chưa niêm yết,CÔNG TY CP TÔ THÀNH PHÁT,Lý Nguyệt Anh,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
0301096513,Chưa niêm yết,CÔNG TY CỔ PHẦN MẠC TÍCH,Dương Quốc Bảo,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Đồng Nai
0301115156,Chưa niêm yết,CÔNG TY TNHH XÂY DỰNG CÔNG TRÌNH HÙNG VƯƠNG,Nguyễn Anh Tài,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
0314709816,Chưa niêm yết,CÔNG TY TNHH ONPOINT,Trần Vũ Quang,Bán lẻ khác,,,TP Hồ Chí Minh
