Mã số thuế,Mã chứng khoán,Ten cong ty,CEO,Nganh nghe,Doanh thu 2020,Doanh thu 2021,Tinh
1600169024,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN SAO MAI,Lê Thanh Thuấn,Kinh doanh bất động sản,"12,524,614","11,397,926",An Giang
0101057919,PVF,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,Nguyễn Hoàng Nam,Ngân hàng,"7,791,833","7,672,658",Hà Nội
0200253985,SSB,NGÂN HÀNG TMCP ĐÔNG NAM Á,Lê Văn Tần,Ngân hàng,"3,061,716","5,186,093",Hà Nội
4600310787,Chưa niêm yết,CÔNG TY CP THƯƠNG MẠI THÁI HƯNG,Nguyễn Thị Vinh,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ",,,Thái Nguyên
5701384498,Chưa niêm yết,CÔNG TY TNHH ĐIỆN LỰC AES MÔNG DƯƠNG,David Stone,"Sản xuất, truyền tải, phân phối điện",,,Quảng Ninh
0310631333,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ DƯỢC PHẨM SANG,Lê Quỳnh Liên,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,TP Hồ Chí Minh
0301179079,EIB,NGÂN HÀNG TMCP XUẤT NHẬP KHẨU VIỆT NAM,Nguyễn Quốc Hương,Ngân hàng,"3,313,736","3,524,302",TP Hồ Chí Minh
3700255880,Chưa niêm yết,CÔNG TY CP TÔN ĐÔNG Á,Nguyễn Thanh Trung,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Bình Dương
0101778163,FOX,CÔNG TY CP VIỄN THÔNG FPT,Hoàng Việt Anh,Viễn thông,"11,466,154","12,686,416",Hà Nội
0300808687,Chưa niêm yết,CÔNG TY CP ACECOOK VIỆT NAM,Kajiwara Junichi,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
0101527385,Chưa niêm yết,TỔNG CÔNG TY BẢO HIỂM BẢO VIỆT,Nguyễn Xuân Việt,Bảo hiểm,,,Hà Nội
