164,CÔNG TY CP ĐẦU TƯ PHAN VŨ,Phan Khắc Long,0302217087,"Sản xuất, kinh doanh vật liệu xây dựng"
165,TỔNG CÔNG TY MAY NHÀ BÈ - CTCP,Phạm Phú Cường,0300398889,"Sản xuất, kinh doanh trang phục"
166,CÔNG TY TNHH KẾT CẤU THÉP 568,Phạm Ngọc Lan,0900273306,"Kinh doanh kim loại, sắt thép, kim khí…"
167,TỔNG CÔNG TY CP BẢO MINH,Vũ Anh Tuấn,0300446973,Bảo hiểm
168,CÔNG TY CP CHỨNG KHOÁN VPS,Nguyễn Lâm Dũng,0104979904,Chứng khoán
169,CÔNG TY CP THUẬN HẢI,Dương Thanh Hải,0305601319,"Khai thác, kinh doanh than và hoạt động hỗ trợ"
170,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THÀNH TÍN,Trần Thanh Nga,2200208834,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô"
171,CÔNG TY CP PHÁT TRIỂN BẤT ĐỘNG SẢN PHÁT ĐẠT,Bùi Quang Anh Vũ,0303493756,Kinh doanh bất động sản
172,CÔNG TY CP GỖ AN CƯỜNG,Lê Đức Nghĩa,3700748131,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất"
173,CÔNG TY CP LIZEN,Tăng Quốc Thuộc,0302310209,Xây dựng
174,CÔNG TY CP MAY SÔNG HỒNG,Bùi Đức Thịnh,0600333307,"Sản xuất, kinh doanh trang phục"
175,CÔNG TY CP TẬP ĐOÀN SUNHOUSE,Nguyễn Xuân Phú,0101976905,"Sản xuất, kinh doanh đồ dùng gia đình"
176,CÔNG TY TNHH THỨC ĂN GIA SÚC LÁI THIÊU,Nguyễn Thị Kim Anh,3700149709,"Sản xuất, kinh doanh thức ăn chăn nuôi"
177,CÔNG TY CP ĐẦU TƯ TỔNG HỢP HÀ NỘI,Nguyễn Đại Hải,0102287094,Kinh doanh bất động sản
178,CÔNG TY CP PHÚC SINH,Phan MinhThông,0302401061,"Sản xuất, chế biến và kinh doanh đồ uống không cồn"
179,CÔNG TY CP THỰC PHẨM Á CHÂU,Nguyễn Mạnh Hà,3700150020,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp"
180,CÔNG TY CP CÔNG NGHỆ VÀ DỊCH VỤ IMEDIA,Phạm Ngọc Tú,0105837941,Viễn thông
181,CÔNG TY TNHH TẬP ĐOÀN BIM - BIM GROUP,Đoàn Quốc Huy,5700103433,Kinh doanh bất động sản
182,CÔNG TY CP TẬP ĐOÀN VITTO,Nguyễn Xuân Quang,2500578360,"Sản xuất, kinh doanh vật liệu xây dựng"
183,CÔNG TY CP CASPER VIỆT NAM,Nguyễn Viết Chung,0107009894,"Sản xuất, kinh doanh thiết bị điện"
184,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI MINH NGỌC,Đồng Tuấn Vũ,0900237146,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác"
185,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ DẦU KHÍ HẢI PHÁT,Phạm Thị Thu Tâm,3603262480,Kinh doanh xăng dầu và các sản phẩm liên quan
