,Tên công ty,Tên quốc tế,Tên viết tắt,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh
118,CÔNG TY CỔ PHẦN GIAO NHẬN VÀ VẬN CHUYỂN IN DO TRẦN,IN DO TRANS LOGISTICS CORPORATION,ITL CORP.,0301909173,"52 - 54 - 56 Trường Sơn, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam","TRẦN TUẤN ANH
Ngoài ra TRẦN TUẤN ANH còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY TNHH LIÊN DOANH QUẢN LÝ VÀ CHO THUÊ PHƯƠNG TIỆN GB VIỆT NAM TẠI HÀ NỘI
CÔNG TY TNHH AIR CARGO LOGISTICS VIỆT NAM
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN GIAO NHẬN VÀ VẬN CHUYỂN IN DO TRẦN
CÔNG TY CỔ PHẦN ĐẦU TƯ SEA
VĂN PHÒNG ĐẠI DIỆN TẠI BÌNH DƯƠNG - CÔNG TY CỔ PHẦN GIAO NHẬN VÀ VẬN CHUYỂN IN DO TRẦN
CÔNG TY TNHH ITL LOGISTICS
CÔNG TY TNHH AIR CARGO LOGISTICS VIỆT NAM (NTNN)
CÔNG TY CỔ PHẦN GIAO NHẬN VÀ VẬN CHUYỂN IN DO TRẦN (NTNN)",028 3948 6888,2007-11-03,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải
119,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUẤT NHẬP KHẨU THIÊN NAM,THIEN NAM TRADING - IMPORT EXPORT JOINT STOCK COMPANY,TENIMEX,0301172041,"Tòa nhà văn phòng Thiên Nam, Số 111-121 Ngô Gia Tự, Phường 02, Quận 10, Thành phố Hồ Chí Minh, Việt Nam","VƯƠNG QUANG DIỆU
Ngoài ra VƯƠNG QUANG DIỆU còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI XUẤT NHẬP KHẨU THIÊN NAM - TRUNG TÂM KINH DOANH SẮT THÉP THIÊN NAM LONG AN
CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI XUẤT NHẬP KHẨU THIÊN NAM - TRUNG TÂM KINH DOANH SẮT, THÉP
CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI XUẤT NHẬP KHẨU THIÊN NAM - TRUNG TÂM KINH DOANH SẮT THÉP THIÊN NAM BÌNH TÂN",84-8-38348980/81/82/,2000-11-01,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn kim loại và quặng kim loại
-Chi tiết: Mua bán sắt thép (không hoạt động tại trụ sở) (trừ mua bán vàng miếng)"
120,CÔNG TY CỔ PHẦN SẢN XUẤT NHỰA DUY TÂN,DUY TAN PLASTICS MANUFACTURING CORPORATION,DUY TAN PLASTICS CORP,0306151768,"298 Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",CHAMORNWUT TAMNARNCHIT,Bị ẩn theo yêu cầu người dùng,2008-11-07,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sản phẩm từ plastic
Chi tiết: Sản xuất các sản phẩm nhựa (trừ sản xuất xốp cách nhiệt sử dụng ga R141b, sử dụng polyol trộn sẵn HCFC-141b); in trên sản phẩm nhựa và linh kiện nhựa"
121,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,KIM TIN GROUP CORPORATION,KIM TIN GROUP CORP,0303738780,"69 Nguyễn Thi, Phường 13, Quận 5, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN TIẾN HẢI
Ngoài ra NGUYỄN TIẾN HẢI còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN KIM TÍN",02839506617,2005-04-06,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu
Chi tiết: Sản xuất vật liệu, dụng cụ và thiết bị trong ngành hàn (nối) (không hoạt động tại trụ sở) ; sản xuất đinh, dây thép buộc"
122,CÔNG TY CỔ PHẦN TẬP ĐOÀN MINH TIẾN - MTG,MINH TIEN GROUP JOINT STOCK COMPANY - MTG,MINH TIEN GROUP,0101013887,"Tầng 10 Tòa nhà Geleximco, số 36 phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Nguyễn Thị Hồng Minh ( sinh năm 1972 - Nam Định) Ẩn thông tin,02435380217 - 024,2000-05-16,Chi cục Thuế Quận Đống đa,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống
(Trừ kinh doanh động vật hoang dã thuộc danh mục điều ước quốc tế mà Việt Nam ký kết hoặc tham gia quy định và các loại động vật quý hiếm khác theo quy định của pháp luật)"
123,CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG DELTA,,TẬP ĐOÀN DELTA,0100512717,"Số 81, phố Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",TRẦN THÀNH VINH TRẦN VĂN HÀ,(024) 38217 885,1993-01-19,Cục Thuế Thành phố Hà Nội,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Xây dựng công trình kỹ thuật dân dụng khác
Chi tiết: - Xây dựng công trình công nghiệp, trừ nhà cửa như: Các nhà máy lọc dầu, Các xưởng hoá chất; - Xây dựng công trình cửa như: Đường thuỷ, bến cảng và các công trình trên sông, các cảng du lịch, cửa cống; Đập và đê; -Xây dựng đường hầm; - Các công việc xây dựng khác không phải nhà như: Các công trình thể thao ngoài trời."
124,CÔNG TY CỔ PHẦN KINH DOANH KHÍ MIỀN NAM,SOUTHERN GAS TRADING JOINT STOCK COMPANY,GAS SOUTH JSC,0305097236,"lầu 4, PetroVietNam Tower, số 1-5 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN NGỌC LUẬN
Ngoài ra NGUYỄN NGỌC LUẬN còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM TẠI GIA LAI - CỬA HÀNG KINH DOANH GAS PLEIKU
ĐỊA ĐIỂM KINH DOANH CHI NHÁNH CÔNG TY CỔ PHẦN KINH DOANH KHÍ HOÁ LỎNG MIỀN NAM TẠI VŨNG TÀU-CỬA HÀNG KINH DOANH LPG VŨNG TÀU
CHI NHÁNH CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM TẠI CẦN THƠ CỬA HÀNG KINH DOANH QUẬN BÌNH THỦY
ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM - CỬA HÀNG KINH DOANH THỊ XÃ TÂY NINH
CHI NHÁNH CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM TẠI CẦN THƠ CỬA HÀNG KINH DOANH QUẬN CÁI RĂNG
CÔNG TY LUẬT TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN CỘNG SỰ THÔNG THÁI
CÔNG TY CỔ PHẦN KINH DOANH KHÍ MIỀN NAM - CHI NHÁNH MIỀN TÂY - CỬA HÀNG KINH DOANH QUẬN THỐT NỐT
CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM - ĐỊA ĐIỂM KINH DOANH ĐINH BỘ LĨNH
CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM - ĐỊA ĐIỂM KINH DOANH LÊ VĂN LƯƠNG
ĐIỂM KINH DOANH NGUYỄN HỮU CẢNH - CHI NHÁNH CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM
ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM - CỬA HÀNG KINH DOANH LPG PHƯỚC HÒA
ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM - CỬA HÀNG KINH DOANH LPG LONG SƠN
CỬA HÀNG KINH DOANH LPG - CÔNG TY CỔ PHẦN KINH DOANH KHÍ HÓA LỎNG MIỀN NAM - CHI NHÁNH VTGAS",08 3910 0108,2007-07-25,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Vận tải hàng hóa bằng đường bộ
Chi tiết: Vận tải hàng hóa bằng xe chuyên dụng: xe chở chất lỏng, xe chở khí dầu mỏ hóa lỏng (LPG), xe chở khí thiên nhiên nén (CNG), xe chở khí thiên nhiên hóa lỏng (LNG), xe chở hóa chất, xe đông lạnh; Kinh doanh vận tải hàng hóa bằng container (không hoạt động tại trụ sở)"
125,CÔNG TY CỔ PHẦN XÂY DỰNG CENTRAL,CENTRAL CONSTRUCTION JOINT STOCK COMPANY,,0314476689,"204/9 Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TRẦN QUANG TUẤN,(84)2836205151,2017-06-23,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Xây dựng công trình đường sắt và đường bộ
126,CÔNG TY CỔ PHẦN THÉP VÀ THƯƠNG MẠI HÀ NỘI,,,5400363141,"Xóm Cố Thổ, Xã Hòa Sơn, Huyện Lương Sơn, Tỉnh Hòa Bình, Việt Nam",ĐÀO HÀ LÂMĐÀO THỊ ÁNH,0983090936,2011-04-28,Chi cục Thuế Huyện Lương Sơn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán buôn kim loại và quặng kim loại
127,CÔNG TY CỔ PHẦN TẬP ĐOÀN HÀ ĐÔ,,,0100283802,"Số 8 Láng Hạ, Phường Thành Công, Quận Ba Đình, Thành phố Hà Nội, Việt Nam","NGUYỄN TRỌNG THÔNG
Ngoài ra NGUYỄN TRỌNG THÔNG còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN ĐẦU TƯ IP VIỆT NAM
CÔNG TY CỔ PHẦN THƯƠNG MẠI HÀ ĐÔ
CÔNG TY CỔ PHẦN HÀ ĐÔ 4
CÔNG TY CỔ PHẦN ĐẦU TƯ KHÁNH HÀ
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG AN LẠC 1.
CHI NHÁNH MIỀN NAM CÔNG TY CỔ PHẦN TẬP ĐOÀN HÀ ĐÔ
CÔNG TY CỔ PHẦN ĐẠI AN SINH
CÔNG TY TNHH MTV HÀ ĐÔ NINH THUẬN
CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ AN LẠC
CÔNG TY CỔ PHẦN HÀ ĐÔ HỒNG PHONG
CÔNG TY CỔ PHẦN TẬP ĐOÀN HÀ ĐÔ
CÔNG TY CỔ PHẦN HÀ ĐÔ - 756 SÀI GÒN
CÔNG TY CỔ PHẦN ĐẦU TƯ AN LẠC
CÔNG TY CỔ PHẦN HÀ ĐÔ NINH SIM
CÔNG TY CỔ PHẦN ĐẦU TƯ KHÁNH HÀ (NỘP THUẾ NTNN)
CÔNG TY TNHH HỖN HỢP DỊCH VỌNG
CÔNG TY CỔ PHẦN NĂNG LƯỢNG HÀ ĐÔ",02438310347/024383,2005-04-11,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí"
128,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU NHẤT THÀNH,NHAT THANH IMPORT EXPORT JOINT STOCK COMPANY,"NHAT THANH IMEX.,JSC",0106025519,"Số 1 ngách 19, ngõ 85 phố Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",NGUYỄN THỌ ANH,02437368869,2012-10-31,Chi cục thuế Quận Hoàng Mai,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán buôn gạo
129,CÔNG TY CP NÔNG SẢN THỰC PHẨM QUẢNG NGÃI,QUANG NGAI AGRICULTURAL PRODUCTS AND FOODSTUFF JOINT STOCK COMPANY,APFCO,4300321643,"Số : 48 Phạm Xuân Hoà, Phường Trần Hưng Đạo, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi, Việt Nam","VÕ VĂN DANHTRẦN NGỌC HẢI
Ngoài ra VÕ VĂN DANHTRẦN NGỌC HẢI còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN NÔNG SẢN THỰC PHẨM QUẢNG NGÃI (NỘP HỘ)",0553822536-3822529,2003-12-26,Cục Thuế Tỉnh Quảng Ngãi,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất tinh bột và các sản phẩm từ tinh bột
130,CÔNG TY CỔ PHẦN THƯƠNG MẠI THÀNH THÀNH CÔNG,THANH THANH CONG TRADING JOINT STOCK COMPANY,CÔNG TY THƯƠNG MẠI THÀNH THÀNH CÔNG,3700594361,"Số 7 Đại lộ Độc Lập, Lô D, Khu công nghiệp Sóng Thần 1, Phường Dĩ An, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam","HỒ THỊ PHƯƠNG THẢO
Ngoài ra HỒ THỊ PHƯƠNG THẢO còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN GIÁO DỤC QUỐC TẾ THÀNH THÀNH CÔNG",02839972727,2004-09-20,Cục Thuế Tỉnh Bình Dương,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán buôn thực phẩm
