Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
CÔNG TY CP VẬN TẢI SẢN PHẨM KHÍ QUỐC TẾ,Đoàn Đức Trọng,0305390530,Vận tải đường biển,"1,547,235","1,631,605",TP Hồ Chí Minh
CÔNG TY CP XÂY DỰNG CDC,Trần Văn Trường,0105283073,Xây dựng,,,Hà Nội
CÔNG TY CP DẦU THỰC VẬT TÂN BÌNH,Trương Hoàng Minh,0303587122,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,,TP Hồ Chí Minh
CÔNG TY CP XÂY DỰNG PHỤC HƯNG HOLDINGS,Trần Hồng Phúc,0101311315,Xây dựng,"419,450","289,459",Hà Nội
CÔNG TY TNHH TNI KING COFFEE,Lê Hoàng Diệp Thảo,0313743966,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,TP Hồ Chí Minh
CÔNG TY CP ĐỊA ỐC PHÚ LONG,Phùng Chu Cường,0303739921,Kinh doanh bất động sản,,,TP Hồ Chí Minh
CÔNG TY CP TỔNG CÔNG TY MAY ĐỒNG NAI,Bùi Thế Kích,3600506058,"Sản xuất, kinh doanh trang phục",,,Đồng Nai
CÔNG TY CP XUẤT NHẬP KHẨU THUẬN MINH,Huỳnh Bảo Trọng,0309828977,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,TP Hồ Chí Minh
CÔNG TY CỔ PHẦN SEAREFICO,Nguyễn Thị Thanh Hường,0301825452,Hoạt động xây dựng khác,"1,486,297","930,440",TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI THÉP NAM VIỆT,Đào Minh Hiếu,0301985093,"Kinh doanh kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
CÔNG TY TNHH CỎ MAY LAI VUNG,Phan Minh Thiện,1401598685,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Tháp
CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI THÁI TÂN,Nguyễn Thanh Nga,0101188943,Bán lẻ khác,,,Hà Nội
CÔNG TY CP CHỨNG KHOÁN TÂN VIỆT,Nguyễn Tiến Thành,0102117529,Chứng khoán,,,Hà Nội
CÔNG TY CP XÂY LẮP VÀ VẬT TƯ XÂY DỰNG,Hoàng Thị Bạch Tuyết,0300588664,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ MAI TIẾN PHÁT,Mai Văn Phục,0309930593,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
CÔNG TY TNHH KIẾN VƯƠNG,Nguyễn Tuấn Cường,0304355389,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,TP Hồ Chí Minh
CÔNG TY CP PI CO,Trịnh Đức Tuấn,0102018260,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,,Hà Nội
CÔNG TY CP TẬP ĐOÀN C.E.O,Đoàn Văn Minh,0101183550,Kinh doanh bất động sản,"1,323,835","901,811",Hà Nội
CÔNG TY CP DƯỢC PHẨM IMEXPHARM,Trần Thị Đào,1400384433,"Sản xuất dược phẩm, thiết bị y tế","1,369,422","1,266,597",Đồng Tháp
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC AN PHÁT,Lê Thị Hương Giang,0101468933,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
TỔNG CÔNG TY CP BẢO HIỂM HÀNG KHÔNG,Trần Trọng Dũng,0102737963,Bảo hiểm,,,Hà Nội
CÔNG TY CP XÂY DỰNG SCG,Lê Văn Nam,0108704763,Xây dựng,"1,420,346","2,857,280",Hà Nội
CÔNG TY CP XÂY DỰNG VÀ CÔNG NGHIỆP NSN,Thạch Hoàng Ngọc,0101428070,Hoạt động xây dựng khác,,,Hà Nội
CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT HOÀNG MAI,Nguyễn Thị Tuyết Mai,0101179473,"Sản xuất, chế biến và kinh doanh bánh kẹo",,,Hà Nội
TỔNG CÔNG TY CP BẢO HIỂM BẢO LONG,Phan Quốc Dũng,0301458065,Bảo hiểm,"937,643","1,092,236",TP Hồ Chí Minh
CÔNG TY CP KHOÁNG SẢN VÀ XÂY DỰNG BÌNH DƯƠNG,Trần Đình Hà,3700148825,Khai khoáng khác và kinh doanh các sản phẩm khác từ khai khoáng,"1,322,455","884,273",Bình Dương
CÔNG TY CP CAO SU SAO VÀNG,Mai Chiến Thắng,0100100625,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su","1,349,273","955,715",Hà Nội
CÔNG TY CP CÔNG NGHIỆP Á MỸ,Đinh Quốc Tuấn,2500552524,"Sản xuất, kinh doanh vật liệu xây dựng",,,Vĩnh Phúc
CÔNG TY CP THUẬN ĐỨC,Nguyễn Đức Cường,0900264799,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hưng Yên
CÔNG TY CP DAMSAN,Vũ Huy Đông,1000389853,"Sản xuất, kinh doanh sợi, sản phẩm dệt","1,339,010","1,513,151",Thái Bình
CÔNG TY CP THƯƠNG MẠI THÉP INDECO,Đào Đình Đông,0313562014,"Kinh doanh kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
CÔNG TY TNHH CHẾ BIẾN DỪA LƯƠNG QUỚI,Cù Văn Thành,1300230895,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,Bến Tre
CÔNG TY CP GIẤY VIỆT TRÌ,Nguyễn Văn Hiện,2600107284,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy","1,361,978","1,989,277",Phú Thọ
CÔNG TY CP CMC,Nguyễn Quang Huy,2600106523,"Sản xuất, kinh doanh vật liệu xây dựng",,,Phú Thọ
CÔNG TY CP KỸ THUẬT XÂY DỰNG DINCO,Lê Trường Kỹ,0400461301,Xây dựng,,,Đà Nẵng
CÔNG TY CP KOSY,Nguyễn Việt Cường,0102681319,Kinh doanh bất động sản,"1,308,626","1,106,568",Hà Nội
CÔNG TY CP TẬP ĐOÀN F.I.T,Nguyễn Thị Minh Nguyệt,0102182140,Dịch vụ tài chính khác,"1,188,427","1,220,561",Hà Nội
CÔNG TY CP BIBICA,Nguyễn Quốc Hoàng,3600363970,"Sản xuất, chế biến và kinh doanh bánh kẹo","1,218,556","1,091,174",TP Hồ Chí Minh
CÔNG TY TNHH VINA,Phạm Đức Ngữ,3600364780,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
CÔNG TY CP DƯỢC - TRANG THIẾT BỊ Y TẾ BÌNH ĐỊNH,Phạm Thị Thanh Hương,4100259564,"Sản xuất dược phẩm, thiết bị y tế","1,256,952","1,558,504",Bình Định
CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM ĐÔNG Á,Lê Minh Nguyệt,0100274124,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Hà Nội
CÔNG TY CP PHÂN BÓN VÀ HÓA CHẤT DẦU KHÍ MIỀN BẮC,Cao Trung Kiên,0102886450,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","1,292,013","2,056,374",Hà Nội
CÔNG TY CP TRUYỀN THÔNG TK - L,Nguyễn Thị Trúc Mai,0300993574,Quảng cáo và nghiên cứu thị trường,,,TP Hồ Chí Minh
CÔNG TY TNHH CÔNG NGHIỆP MINH HƯNG,Lâm Đạo Minh,1201044062,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,TP Hồ Chí Minh
CÔNG TY CP TƯ VẤN D.P,Trần Song Hải,0302273109,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI KIM ĐỨC,Lê Thị Hiền Lương,0301921780,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,TP Hồ Chí Minh
CÔNG TY CP PHÁT TRIỂN ĐẦU TƯ XÂY DỰNG HT,Tôn Thất Nhật Minh,0314637978,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP DỊCH VỤ HÀNG HẢI HÀNG KHÔNG CON CÁ HEO,Trần Đăng Nam,0305358801,Hoạt động khác hỗ trợ cho vận tải,,,TP Hồ Chí Minh
CÔNG TY CP VẬT LIỆU XÂY DỰNG VÀ TRANG TRÍ NỘI THẤT TP. HỒ CHÍ MINH,Huỳnh Văn Tư,0302495140,"Sản xuất, kinh doanh vật liệu xây dựng","1,217,473","819,486",TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN NGỌC DIỆP,Trần Thị Thu Diệp,0901019782,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
CÔNG TY CP XNK MÁY VÀ PHỤ TÙNG,Trần Viết Hưng,0100107275,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
CÔNG TY TNHH HOÀNG ĐẠI VƯƠNG,Nguyễn Đức Hậu,3600697236,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,Đồng Nai
CÔNG TY CP XÂY DỰNG 47,Dương Minh Quang,4100258747,Xây dựng,"1,233,083","881,943",Bình Định
CÔNG TY TNHH CÁ NGỪ VIỆT NAM,Nguyễn Văn Dư,4201620427,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,Khánh Hòa
CÔNG TY CP HÓA - DƯỢC PHẨM MEKOPHAR,Huỳnh Thị Lan,0302533156,"Sản xuất dược phẩm, thiết bị y tế","1,210,530","1,129,847",TP Hồ Chí Minh
CÔNG TY CP CÔNG NGHIỆP ĐÔNG HƯNG,Hà Duy Hưng,3700820571,"Sản xuất, kinh doanh sản phẩm da giầy",,,Bình Dương
CÔNG TY CP BAO BÌ VÀ IN NÔNG NGHIỆP,Lê Duy Toàn,0101508664,"In ấn, xuất bản","1,210,062","1,536,424",Hà Nội
CÔNG TY CP ĐẦU TƯ HẠ TẦNG GIAO THÔNG ĐÈO CẢ,Nguyễn Xuân Hưởng,0400101965,Xây dựng,"1,201,343","1,861,340",Đà Nẵng
CÔNG TY CP VẬN TẢI VÀ XẾP DỠ HẢI AN,Tạ Mạnh Cường,0103818809,"Kho bãi, bốc xếp hàng hóa","1,191,667","1,955,301",Hà Nội
CÔNG TY CP LOGISTICS VINALINK,Nguyễn Nam Tiến,0301776205,Hoạt động khác hỗ trợ cho vận tải,"1,202,207","1,464,037",TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG VINA2,Nguyễn Khắc Hải,0100105895,Xây dựng,"1,184,858","885,141",Hà Nội
CÔNG TY CP TẬP ĐOÀN SƠN HÀ XANH,Nguyễn Nam Hải,2500209363,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Vĩnh Phúc
CÔNG TY CP TẬP ĐOÀN ĐẠI DƯƠNG,Lò Hồng Hiệp,0102278484,Kinh doanh bất động sản,"903,545","409,277",Hà Nội
CÔNG TY CP NHÔM ĐÔ THÀNH,Lê Ánh Tuyết,0100510501,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hà Nội
CÔNG TY CP GẠCH MEN V.T.C,Trần Hiền Phong,3600723398,"Sản xuất, kinh doanh vật liệu xây dựng",,,Đồng Nai
CÔNG TY CP SIÊU THANH,Phạm Vĩnh Phú,0302563707,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","1,141,547","784,648",TP Hồ Chí Minh
CÔNG TY TNHH TM QUỐC TẾ THỦY LINH,Nguyễn Anh Linh,0101099475,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
CÔNG TY CP DƯỢC PHẨM AN THIÊN,Trần Ngọc Dũng,0305706103,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,TP Hồ Chí Minh
CÔNG TY TNHH THANG MÁY & THIẾT BỊ THĂNG LONG,Lê Minh Hùng,0101130774,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
CÔNG TY CP DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT (SASCO),Đoàn Thị Mai Hương,0301123125,Bán lẻ,"918,203","321,078",TP Hồ Chí Minh
CÔNG TY TNHH CỬA SỔ VIỆT CHÂU Á ASEANWINDOW,Hà Thị Diệu Linh,0308779300,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN TƯ VẤN ĐẦU TƯ XÂY DỰNG KIÊN GIANG,Phạm Thị Như Phượng,1700113586,Dịch vụ khác,"1,114,743","1,103,225",Kiên Giang
CÔNG TY CP CHỨNG KHOÁN MB,Trần Hải Hà,0106393583,Chứng khoán,"1,115,550","2,217,763",Hà Nội
CÔNG TY CP ĐẠI HỮU,Đức Minh Đạo,0101206367,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hà Nội
CÔNG TY CP DỊCH VỤ NÔNG NGHIỆP BÌNH THUẬN,Nguyễn Nhật Huy,3400382278,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","1,103,963","1,198,652",Khánh Hòa
CÔNG TY CP TUẤN ĐẠT,Trần Thị Dung,4000378744,"Sản xuất, kinh doanh trang phục",,,Quảng Nam
CÔNG TY TÀI CHÍNH CỔ PHẦN TÍN VIỆT,Hồ Minh Tâm,0102766770,Dịch vụ tài chính khác,"696,110","1,201,808",Hà Nội
CÔNG TY CP TẬP ĐOÀN NAGAKAWA,Nguyễn Thị Huyền Thương,2500217389,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…","1,075,856","1,404,424",Vĩnh Phúc
CÔNG TY CP ĐẦU TƯ QUỐC TẾ VÀ XUẤT NHẬP KHẨU DHT,Nguyễn Anh Dũng,0102036100,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,,Hà Nội
CÔNG TY CP ĐẦU TƯ VCN,Nguyễn Khánh Toàn,4200644489,Kinh doanh bất động sản,,,Khánh Hòa
CÔNG TY CP DƯỢC PHẨM NAM HÀ,Hà Linh,0600206147,"Sản xuất dược phẩm, thiết bị y tế",,,Nam Định
CÔNG TY CP ĐẦU TƯ XÂY DỰNG BCONS,Lê Như Thạch,0312173537,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP ĐÔNG GIANG,Vũ Hồng Quân,0900220897,"Sản xuất, kinh doanh thiết bị điện",,,Hưng Yên
CÔNG TY TNHH MTV THƯƠNG MẠI THÀNH PHÁT,Đặng Phú Quý,4300369451,"Sản xuất, chế biến và kinh doanh đồ uống có cồn",,,Quảng Ngãi
CÔNG TY CP VINAFCO,Phạm Thị Lan Hương,0100108504,Vận tải đường bộ,"1,046,266","1,245,217",Hà Nội
CÔNG TY CP ĐẦU TƯ XÂY DỰNG SOL E&C,Lê Chí Trung,0313541575,Xây dựng,,,TP Hồ Chí Minh
TỔNG CÔNG TY THƯƠNG MẠI HÀ NỘI - CTCP,Vũ Thanh Sơn,0100101273,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông","940,474","618,505",Hà Nội
CÔNG TY CP XÂY DỰNG AN PHÚ GIA,Hứa Đình Tuấn,0304172307,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP XÂY LẮP THƯƠNG MẠI 2,Đinh Viết Duy,0300584155,Xây dựng,"1,031,090","418,594",TP Hồ Chí Minh
CÔNG TY CP DƯỢC MEDIPHARCO,Phan Thị Minh Tâm,3300101406,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Thừa Thiên Huế
CÔNG TY CP AZB,Trần Minh Nhơn,0310734321,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP THIẾT BỊ VẬT TƯ Y TẾ THANH HOÁ,Nguyễn Văn Mong,2800588271,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Thanh Hoá
CÔNG TY TNHH TRUYỀN THÔNG BEE,Nguyễn Tấn Thái,0314115227,"Truyền hình, phát thanh, phim ảnh",,,TP Hồ Chí Minh
CÔNG TY TNHH DELOITTE VIỆT NAM,Phạm Văn Thinh,0100112500,Dịch vụ khác,,,Hà Nội
CÔNG TY TNHH SẢN XUẤT TẬP ĐOÀN ĐẠI VIỆT,Ngô Xuân Mạnh,1101928050,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Long An
CÔNG TY CP BÊ TÔNG 620 CHÂU THỚI,Trần Thanh Vũ,1500419552,"Sản xuất, kinh doanh vật liệu xây dựng",,,Vĩnh Long
CÔNG TY CP CƠ ĐIỆN ĐOÀN NHẤT,Nguyễn Duy Pháp,0305289273,Hoạt động xây dựng khác,,,TP Hồ Chí Minh
CÔNG TY CP BÓNG ĐÈN ĐIỆN QUANG,Hồ Quỳnh Hưng,0300363808,"Sản xuất, kinh doanh thiết bị điện","940,222","733,831",TP Hồ Chí Minh
CÔNG TY CP DƯỢC PHẨM OPC,Nguyễn Chí Linh,0302560110,"Sản xuất dược phẩm, thiết bị y tế","965,591","1,123,728",TP Hồ Chí Minh
CÔNG TY CP KHÓA VIỆT - TIỆP,Nguyễn Văn Tuấn,0100100537,"Sản xuất, kinh doanh đồ dùng gia đình",,,Hà Nội
CÔNG TY CP GIAO DỊCH HÀNG HÓA TÂY NGUYÊN,Đỗ Văn Thắng,6001552050,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,TP Hồ Chí Minh
CÔNG TY CP NHẬT TIẾN,Nguyễn Lê Thụy,0200919993,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hải Phòng
CÔNG TY CP DÂY CÁP ĐIỆN DAPHACO,Đào Quang Huy,0302008774,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT DẦU THỰC VẬT MINH HUÊ,Tăng Quốc Khánh,0304391796,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,,TP Hồ Chí Minh
MINH HƯNG GROUP,Phạm Tú Anh,1200748517,"Sản xuất, kinh doanh hóa chất khác",,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN ĐUA FAT,Lê Duy Hưng,0104008162,Xây dựng,,,Hà Nội
CÔNG TY CP ĐẦU TƯ XÂY DỰNG HẠ TẦNG VÀ PHÁT TRIỂN NÔNG THÔN,Nguyễn Đức Hà,0101093709,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
CÔNG TY CP HỢP NHẤT QUỐC TẾ,Bùi Đức Ngoãn,0305141894,"Bưu chính, chuyển phát",,,Hà Nội
CÔNG TY CP SƠN HẢI PHÒNG,Nguyễn Văn Dũng,0200575580,"Sản xuất, kinh doanh hóa chất khác",,,Hải Phòng
TỔNG CÔNG TY CỔ PHẦN MIỀN TRUNG,Nguyễn Hữu Vinh,2800976203,Xây dựng,,,Thanh Hoá
CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ HACOM,Đặng Tiến Trung,0101161194,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
CÔNG TY CP VILACONIC,Hoàng Văn Ngoạn,2901274715,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Nghệ An
