Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM,Đặng Thanh Hải,5700100256,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,,Hà Nội
NGÂN HÀNG TMCP CÔNG THƯƠNG VIỆT NAM,Trần Minh Bình,0100111948,Ngân hàng,"35,580,829","41,788,465",Hà Nội
NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,Phạm Quang Dũng,0100112437,Ngân hàng,"36,285,475","42,399,617",Hà Nội
CÔNG TY CP CHĂN NUÔI C.P. VIỆT NAM,Montri Suwanposri,3600224423,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
TỔNG CÔNG TY KHÍ VIỆT NAM - CTCP,Hoàng Văn Quang,3500102710,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","64,134,965","78,992,156",TP Hồ Chí Minh
TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Huỳnh Quang Liêm,0100684378,Viễn thông,,,Hà Nội
NGÂN HÀNG TMCP QUÂN ĐỘI,Lưu Trung Thái,0100283873,Ngân hàng,"20,277,795","26,199,554",Hà Nội
TẬP ĐOÀN BẢO VIỆT,Nguyễn Quang Phi,0100111761,Bảo hiểm,"34,524,044","36,827,962",Hà Nội
TỔNG CÔNG TY HÀNG KHÔNG VIỆT NAM - CTCP,Lê Hồng Hà,0100107518,Vận tải hàng không,"40,538,339","27,911,340",Hà Nội
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Nguyễn Trường Giang,0106869738,Viễn thông,,,Hà Nội
TỔNG CÔNG TY PHÁT ĐIỆN 3 - CTCP,Lê Văn Danh,3502208399,"Sản xuất, truyền tải, phân phối điện","40,367,208","37,757,424",TP Hồ Chí Minh
TỔNG CÔNG TY PHÁT ĐIỆN 1,Nguyễn Khắc Sơn,5701662152,"Sản xuất, truyền tải, phân phối điện",,,Hà Nội
CÔNG TY TNHH INTEL PRODUCTS VIỆT NAM,Ooi Kim Huat,0304295429,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,TP Hồ Chí Minh
TỔNG CÔNG TY BẢO VIỆT NHÂN THỌ,Phạm Ngọc Sơn,0102641429,Bảo hiểm,,,Hà Nội
CÔNG TY TNHH BẢO HIỂM NHÂN THỌ PRUDENTIAL VIỆT NAM,Phương Tiến Minh,0301840443,Bảo hiểm,,,TP Hồ Chí Minh
LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH (CO.OP MART),Nguyễn Anh Đức,0301175691,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
CÔNG TY TNHH QUỐC TẾ UNILEVER VIỆT NAM,JV Raman,0300762150,"Sản xuất, kinh doanh hóa mỹ phẩm",,,TP Hồ Chí Minh
TỔNG CÔNG TY VIỄN THÔNG MOBIFONE,Tô Mạnh Cường,0100686209,Viễn thông,,,Hà Nội
TỔNG CÔNG TY THÉP VIỆT NAM - CTCP,Nguyễn Đình Phúc,0100100047,"Kinh doanh kim loại, sắt thép, kim khí…","31,291,145","40,572,198",Hà Nội
TỔNG CÔNG TY ĐIỆN LỰC DẦU KHÍ VIỆT NAM - CTCP,Nguyễn Xuân Hòa,0102276173,"Sản xuất, truyền tải, phân phối điện","29,731,734","24,560,949",Hà Nội
